Date,Non-OPEC,OPEC,Total,Price,Market_Size,Non-OPEC yoy,OPEC yoy,Price yoy,Price yoy adj,OPEC_cooperate,NOPEC_cooperate
1988-12-31,24250.844,11356.726,35607.57,12.58,447943.2306,0.006050386684947983,0.12288311450096313,-0.202259258147289,-0.26246880913975823,0,1
1989-12-31,23822.482,12215.01,36037.492,15.86,571554.62312,-0.017821664249837825,0.07285535584610964,0.23169196493440736,0.17148241394193817,0,1
1990-12-31,23625.988,13100.789,36726.777,20.03,735637.34331,-0.008282464040526006,0.07000693402610185,0.23343093347102511,0.17322138247855592,0,1
1991-12-31,23439.219,13188.477,36627.696,16.54,605822.09184,-0.00793664757010035,0.006671036399115686,-0.1914494600821818,-0.251659011074651,1,1
1992-12-31,22930.03,14227.945,37157.975,15.99,594156.02025,-0.0219632398424337,0.07586449466148278,-0.03381816274968232,-0.09402771374215152,0,1
1993-12-31,22524.508,14580.642,37105.15,14.25,528748.3875000001,-0.017843444340139434,0.024486770071258,-0.11520662013120328,-0.17541617112367247,0,1
1994-12-31,22767.371,14851.832,37619.203,13.19,496197.28757,0.010724453614037281,0.01842846611009049,-0.07729793998543638,-0.13750749097790557,0,1
1995-12-31,23078.398,15057.113,38135.511,14.62,557541.17082,0.013568614013073639,0.013727279484788805,0.10293148759240928,0.042721936599940086,1,1
1996-12-31,23698.49,15452.746,39151.236,18.46,722731.81656,0.02651430454552472,0.025936218050876883,0.23321577475307384,0.17300622376060465,0,0
1997-12-31,24118.951,15904.251,40023.202,17.23,689599.77046,0.017586547003138005,0.0287997098041813,-0.06895417853486789,-0.12916372952733707,0,1
1998-12-31,24171.02,16863.688,41034.708,10.87,446047.27595999994,0.0021565148663745975,0.05857623925620075,-0.4606453494067202,-0.5208549003991894,0,1
1999-12-31,24069.688,16034.997,40104.685,15.56,624028.8986,-0.0042011053832964685,-0.050389025184678776,0.3586968176171275,0.2984872666246583,1,1
2000-12-31,24824.896,17019.271,41844.167,26.72,1118076.14224,0.030893731079815672,0.05957264421115446,0.5407088299181994,0.4804992789257302,0,0
2001-12-31,25106.535,16735.379,41841.914,21.84,913827.4017599999,0.01128115021888157,-0.016821308711970493,-0.2016691977917406,-0.2618787487842098,1,1
2002-12-31,25700.395,15636.744,41337.139,22.51,930498.9988900002,0.02337819061680205,-0.06790145225293001,0.030216504041936692,-0.0299930469505325,1,0
2003-12-31,26204.133,16969.205,43173.338,27.56,1189857.19528,0.01941078498486479,0.08177670147042135,0.2024057912268169,0.1421962402343477,0,1
2004-12-31,26677.232,18658.174,45335.406,36.77,1666982.8786200003,0.017893321121544542,0.09488410348263539,0.288316849167723,0.2281072981752538,0,1
2005-12-31,26576.316,19146.727,45723.043,50.28,2298954.60204,-0.003790024311575039,0.025847452927427905,0.312925088408866,0.25271553741639685,0,1
2006-12-31,26707.756,19422.8,46130.556,59.69,2753532.88764,0.004933566886739655,0.01431584654539664,0.17155711845851174,0.11134756746604255,1,1
2007-12-31,26817.18,19219.516,46036.696,66.52,3062361.01792,0.004088716797054176,-0.010521412603402218,0.10833815214416848,0.048128601151699285,1,1
2008-12-31,26697.47,19826.857,46524.327,94.04,4375147.71108,-0.004473922549284808,0.031111211620172285,0.34621756934714193,0.2860080183546727,0,1
2009-12-31,26929.256,18436.545,45365.801,56.35,2556362.88635,0.008644474898077311,-0.07270259659488897,-0.5121379831860835,-0.5723475341785527,1,1
2010-12-31,27528.22,18736.771,46264.991,74.71,3456457.47761,0.02199838106578693,0.01615312058619083,0.28203171150192435,0.22182216050945516,0,0
2011-12-31,27543.307,19078.973,46622.28,95.73,4463150.8644,0.0005479056492270278,0.01809888184109362,0.24791777697055203,0.18770822597808284,0,1
2012-12-31,28020.693,19900.527,47921.22,94.52,4529513.7144,0.017183706961766892,0.042159375216191584,-0.01272027663955481,-0.072929827632024,0,1
2013-12-31,28729.809,19256.617,47986.426,95.99,4606217.03174,0.024991951929002405,-0.03289147186346871,0.015432567056738518,-0.04477698393573067,1,0
2014-12-31,29915.209,19197.572,49112.781,87.39,4291965.93159,0.040431788413159815,-0.0030709292245119854,-0.09386315973599252,-0.1540727107284617,1,0
2015-12-31,30629.934,20132.18,50762.114,44.39,2253330.24046,0.023610752812886365,0.04753571715973937,-0.6773666407935091,-0.7375761917859782,0,0
2016-12-31,30140.002,20764.275,50904.277,38.29,1949124.76633,-0.01612450653676975,0.030914432089953876,-0.1478254533567408,-0.20803500434921,0,1
2017-12-31,30449.252,20547.342,50996.594,48.05,2450386.3416999998,0.010208169438410167,-0.01050237244255196,0.22705336992709826,0.16684381893462907,1,1
2018-12-31,31769.5,20421.203,52190.703,61.4,3204509.1642,0.042445281046100146,-0.006157865679229319,0.24516769973679534,0.18495814874432615,1,0
2019-12-31,32865.92,19226.818,52092.738,55.59,2895835.30542,0.03392954458982464,-0.06026764854169492,-0.09940650618771855,-0.15961605718018773,1,0
2020-12-31,31571.744,16989.1,48560.844,36.86,1789952.70984,-0.04017371126692629,-0.12373411334600214,-0.41087637672370103,-0.4710859277161702,1,1
2021-12-31,31807.139,17384.91,49192.049,65.84,3238804.5061600003,0.007428218083072312,0.023030626625718763,0.5801006041271372,0.519891053134668,0,1
2022-12-31,32585.814,18669.754,51255.568,93.97,4816485.72496,0.024186278845894724,0.0713021926784848,0.35574802602615924,0.29553847503369,0,0
