date,value
2016-10,99.86697
2016-11,99.96322
2016-12,100.0578
2017-01,100.1462
2017-02,100.234
2017-03,100.3224
2017-04,100.41
2017-05,100.4975
2017-06,100.5828
2017-07,100.6579
2017-08,100.718
2017-09,100.756
2017-10,100.7719
2017-11,100.7692
2017-12,100.7467
2018-01,100.7087
2018-02,100.6589
2018-03,100.5978
2018-04,100.5205
2018-05,100.4293
2018-06,100.3211
2018-07,100.1972
2018-08,100.0602
2018-09,99.91698
2018-10,99.77575
2018-11,99.64853
2018-12,99.53818
2019-01,99.45
2019-02,99.38296
2019-03,99.33098
2019-04,99.27792
2019-05,99.22129
2019-06,99.16555
2019-07,99.11443
2019-08,99.07176
2019-09,99.04591
2019-10,99.04046
2019-11,99.0538
2019-12,99.07269
2020-01,99.08418
2020-02,95.35371
2020-03,94.25957
2020-04,89.69202
2020-05,93.38651
2020-06,96.37074
2020-07,98.03941
2020-08,98.99342
2020-09,99.53521
2020-10,99.94064
2020-11,100.2529
2020-12,100.5745
2021-01,100.7886
2021-02,100.9856
2021-03,101.191
2021-04,101.3449
2021-05,101.4006
2021-06,101.395
2021-07,101.2899
2021-08,101.1452
2021-09,100.9948
2021-10,100.8606
2021-11,100.7089
2021-12,100.5526
2022-01,100.3802
2022-02,100.1883
2022-03,99.9789
2022-04,99.75799
2022-05,99.53117
2022-06,99.30405
2022-07,99.10403
2022-08,98.9476
2022-09,98.84088
2022-10,98.79328
2022-11,98.8115
2022-12,98.89095
